mode,batch_size,min,max,avg,median
REGULAR_LOAD,10,520,1332,633,553
REGULAR_LOAD,11,520,1105,619,553
REGULAR_LOAD,12,520,1040,607,553
REGULAR_LOAD,13,520,1072,608,553
REGULAR_LOAD,14,520,1105,618,553
REGULAR_LOAD,15,552,1040,613,585
REGULAR_LOAD,16,552,1008,618,585
REGULAR_LOAD,17,552,1007,627,585
REGULAR_LOAD,18,552,1105,626,585
REGULAR_LOAD,19,552,1105,637,585
REGULAR_LOAD,20,552,1170,641,585
REGULAR_LOAD,21,650,1138,746,683
REGULAR_LOAD,22,682,1105,763,747
REGULAR_LOAD,23,683,1203,813,780
REGULAR_LOAD,24,747,1300,874,845
REGULAR_LOAD,25,747,1333,860,845
REGULAR_LOAD,26,780,1365,879,845
REGULAR_LOAD,27,748,1333,914,878
REGULAR_LOAD,28,845,1300,915,878
REGULAR_LOAD,29,845,1300,934,910
REGULAR_LOAD,30,845,1365,948,910
REGULAR_LOAD,31,877,1333,964,910
REGULAR_LOAD,32,877,1300,970,910
REGULAR_LOAD,33,877,1397,989,910
REGULAR_LOAD,34,877,1365,983,926
REGULAR_LOAD,35,878,1332,1011,943
REGULAR_LOAD,36,910,1430,1023,975
REGULAR_LOAD,37,910,15015,1200,1008
REGULAR_LOAD,38,910,1560,1048,1007
REGULAR_LOAD,39,942,1528,1122,1072
REGULAR_LOAD,40,1008,1495,1130,1073
