mode,batch_size,min,max,avg,median
PREFETCH_T1,10,56,244,71,70
PREFETCH_T1,11,60,126,75,72
PREFETCH_T1,12,62,106,76,74
PREFETCH_T1,13,68,102,78,76
PREFETCH_T1,14,68,116,80,79
PREFETCH_T1,15,68,120,84,83
PREFETCH_T1,16,70,128,85,84
PREFETCH_T1,17,358,448,400,404
PREFETCH_T1,18,364,454,403,400
PREFETCH_T1,19,366,450,404,401
PREFETCH_T1,20,372,458,412,416
PREFETCH_T1,21,184,466,407,409
PREFETCH_T1,22,370,464,409,409
PREFETCH_T1,23,376,462,413,417
PREFETCH_T1,24,376,462,411,411
PREFETCH_T1,25,380,454,413,414
PREFETCH_T1,26,376,468,419,422
PREFETCH_T1,27,374,472,413,409
PREFETCH_T1,28,378,462,422,427
PREFETCH_T1,29,382,458,418,416
PREFETCH_T1,30,386,476,420,414
PREFETCH_T1,31,380,510,427,434
PREFETCH_T1,32,386,474,423,421
PREFETCH_T1,33,388,500,429,430
PREFETCH_T1,34,388,478,425,426
PREFETCH_T1,35,390,480,430,432
PREFETCH_T1,36,396,476,429,425
PREFETCH_T1,37,392,480,431,435
PREFETCH_T1,38,400,500,434,432
PREFETCH_T1,39,398,500,435,438
PREFETCH_T1,40,402,506,435,437
