access_pattern,iter,num_threads,cachelines,duration,sec,bw,unc_m_rpq_inserts.pch0,unc_m_rpq_occupancy_pch0,unc_m_rpq_inserts.pch1,unc_m_rpq_occupancy_pch1
sequential,10,1,2684354560,25919137616,10.368,16.6,1608571755,63958919468,1608784688,64420930846
sequential,10,2,2684354560,13008081094,5.203,33.0,1607938749,66231832872,1608112091,66697525089
sequential,10,3,2684354560,8717056346,3.487,49.3,1611451236,68936208004,1611550263,69318223703
sequential,10,4,2684354560,6565028110,2.626,65.4,1606903857,70680302934,1607040660,71018709943
sequential,10,5,2684354560,5284290030,2.114,81.3,1606772423,72738416402,1606894531,73003781918
sequential,10,6,2684354560,4441614216,1.777,96.7,1606612375,75847899946,1606748461,76004131661
sequential,10,7,2684354560,3838813636,1.536,111.9,1606591674,78376943434,1606712811,78575491388
sequential,10,8,2684354560,3391841100,1.357,126.6,1606531182,80990986850,1606676724,81270590502
sequential,10,9,2684354560,3046694616,1.219,141.0,1606463002,84227344822,1606576066,84551293028
sequential,10,10,2684354560,2773652408,1.109,154.8,1606458556,87160331967,1606613103,87547564458
sequential,10,11,2684354560,2554883060,1.022,168.1,1606414409,90560826222,1606525504,91003764705
sequential,10,12,2684354560,2386297966,0.955,180.0,1606404296,94643923016,1606507959,95185589244
sequential,10,13,2684354560,2232055756,0.893,192.4,1606393497,98714587704,1606497965,99329917005
sequential,10,14,2684354560,2105369058,0.842,204.0,1606330895,102956832590,1606403565,103699043978
sequential,10,15,2684354560,1997676024,0.799,215.0,1606645515,107657506724,1606744264,108522662452
sequential,10,16,2684354560,1912619104,0.765,224.6,1606471276,113066307575,1606586325,114077945412
sequential,10,17,2684354560,1842570536,0.737,233.1,1606433878,119128015158,1606548918,120478587431
sequential,10,18,2684354560,1784638266,0.714,240.7,1606344297,124965859113,1606440888,126860957074
sequential,10,19,2684354560,1742068780,0.697,246.5,1606403876,131047717616,1606509722,133998128670
sequential,10,20,2684354560,1712640074,0.685,250.8,1606354202,136159704569,1606439470,140592688565
sequential,10,21,2684354560,1698600450,0.679,252.9,1606399583,140484079956,1606501826,146485218158
sequential,10,22,2684354560,1682381820,0.673,255.3,1606611632,143823642485,1606740702,151313937819
sequential,10,23,2684354560,1678202836,0.671,255.9,1606428138,145928186425,1606516044,154335658074
sequential,10,24,2684354560,1676696242,0.671,256.2,1606402349,147015414891,1606473667,156482423913
sequential,10,25,2684354560,1679776758,0.672,255.7,1606423605,147825453298,1606470796,157894363629
sequential,10,26,2684354560,1682062850,0.673,255.3,1606462590,148605770119,1606486999,158857332038
sequential,10,27,2684354560,1684019702,0.674,255.0,1607342379,149091708197,1607366741,159498124927
sequential,10,28,2684354560,1687164252,0.675,254.6,1607381350,149496422466,1607440706,159988782595
sequential,10,29,2684354560,1689112910,0.676,254.3,1606664547,149952611810,1606709630,160542450396
sequential,10,30,2684354560,1690798326,0.676,254.0,1606978872,149889348747,1606977769,160493731732
sequential,10,31,2684354560,1689951938,0.676,254.1,1606662227,150123158191,1606690764,160330944295
random,10,1,2684354560,29362370190,11.745,14.6,1606594292,64508599522,1606723476,64527149291
random,10,2,2684354560,14760440046,5.904,29.1,1606756418,66833702138,1606866822,66857110764
random,10,3,2684354560,9904011096,3.962,43.4,1606635050,69445280514,1606738786,69464938942
random,10,4,2684354560,7481593492,2.993,57.4,1606645973,71857572144,1606709740,71857432086
random,10,5,2684354560,6034586994,2.414,71.2,1606644641,74243734351,1606758523,74305928029
random,10,6,2684354560,5073426590,2.029,84.7,1606693397,76884063612,1606783402,76977409028
random,10,7,2684354560,4392301856,1.757,97.8,1606688886,79894616649,1606770822,79948435688
random,10,8,2684354560,3885561310,1.554,110.5,1606713772,82983260742,1606830424,82913647619
random,10,9,2684354560,3491684498,1.397,123.0,1606736091,86050957866,1606802632,85668383600
random,10,10,2684354560,3178014286,1.271,135.1,1606768374,88892151991,1606851717,88709461241
random,10,11,2684354560,2927552734,1.171,146.7,1606801296,92200037715,1606866241,92237666800
random,10,12,2684354560,2737146210,1.095,156.9,1606803743,95927587319,1606874955,95967447600
random,10,13,2684354560,2561637578,1.025,167.7,1606811592,99830637078,1606876424,99727012125
random,10,14,2684354560,2413856372,0.966,177.9,1606859222,103323797553,1606954525,103329080908
random,10,15,2684354560,2289829148,0.916,187.6,1606870680,107594842709,1606988948,107824475066
random,10,16,2684354560,2183229820,0.873,196.7,1606944709,112115294239,1607016388,112298139707
random,10,17,2684354560,2091734188,0.837,205.3,1606919444,116683817846,1607017291,116767889231
random,10,18,2684354560,2014453066,0.806,213.2,1606877599,121502285832,1606974288,121600826512
random,10,19,2684354560,1950535348,0.78,220.2,1606964743,126049654116,1607042726,126445779044
random,10,20,2684354560,1896980970,0.759,226.4,1606941330,130791679402,1607022567,131587438369
random,10,21,2684354560,1856547538,0.743,231.3,1607033733,135092467756,1607117907,136447918269
random,10,22,2684354560,1826597970,0.731,235.1,1607064068,139205886712,1607153605,140982053807
random,10,23,2684354560,1806879210,0.723,237.7,1607085749,142642827589,1607200304,144886148959
random,10,24,2684354560,1791839392,0.717,239.7,1607077637,144865739056,1607171236,147467671739
random,10,25,2684354560,1784559180,0.714,240.7,1607618040,146853211601,1607729078,150527419447
random,10,26,2684354560,1780511768,0.712,241.2,1607456534,148544135827,1607529860,152732580838
random,10,27,2684354560,1779202312,0.712,241.4,1607940742,150398813868,1608008204,153883903463
random,10,28,2684354560,1767334924,0.707,243.0,1607952104,150876453140,1608011741,154561582926
random,10,29,2684354560,1762619368,0.705,243.7,1608062116,151299158198,1608142528,155993732361
random,10,30,2684354560,1761899760,0.705,243.8,1608864668,152325239475,1608910975,157616771309
random,10,31,2684354560,1765602552,0.706,243.3,1609867734,153672140868,1609912760,158988608524
