Intel(R) Memory Latency Checker - v3.11b
Command line parameters: --loaded_latency -c0 -j2 -k2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126 

Using buffer size of 100.000MiB/thread for reads and an additional 100.000MiB/thread for writes

Measuring Loaded Latencies for the system
Using all the threads from each core if Hyper-threading is enabled
Using Read-only traffic type
Inject	Latency	Bandwidth
Delay	(ns)	MB/sec
==========================
 00000	168.62	 405065.0
 00002	176.13	 395654.5
 00008	179.54	 384318.6
 00015	179.45	 375745.8
 00050	163.90	 291610.5
 00100	148.10	 160853.8
 00200	141.00	  76908.1
 00300	139.18	  52789.3
 00400	138.14	  40259.5
 00500	137.23	  32708.2
 00700	136.90	  23664.3
 01000	136.60	  16800.8
 01300	136.41	  13069.4
 01700	136.25	  10145.7
 02500	136.11	   7058.5
 03500	136.00	   5263.4
 05000	135.93	   3878.7
 09000	135.82	   2497.2
 20000	135.73	   1433.3
