Intel(R) Memory Latency Checker - v3.11b
Command line parameters: --loaded_latency -c0 -j3 -k2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126 -W5 

Using buffer size of 100.000MiB/thread for reads and an additional 100.000MiB/thread for writes

Measuring Loaded Latencies for the system
Using all the threads from each core if Hyper-threading is enabled
Inject	Latency	Bandwidth
Delay	(ns)	MB/sec
==========================
 00000	547.21	 155176.8
 00002	549.58	 154452.3
 00008	551.90	 153872.6
 00015	553.54	 153381.8
 00050	556.36	 152505.8
 00100	559.51	 151527.0
 00200	549.58	 148861.2
 00300	402.15	  98132.9
 00400	388.74	  77426.3
 00500	381.99	  60609.7
 00700	378.42	  43700.4
 01000	374.95	  31001.9
 01300	372.99	  25460.9
 01700	371.80	  22520.3
 02500	369.73	  16936.8
 03500	367.47	  12202.3
 05000	365.77	   8426.0
 09000	361.74	   4837.4
 20000	349.48	   2296.7
