Intel(R) Memory Latency Checker - v3.11b
Command line parameters: --loaded_latency -c0 -j3 -k2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126 

Using buffer size of 100.000MiB/thread for reads and an additional 100.000MiB/thread for writes

Measuring Loaded Latencies for the system
Using all the threads from each core if Hyper-threading is enabled
Using Read-only traffic type
Inject	Latency	Bandwidth
Delay	(ns)	MB/sec
==========================
 00000	642.49	  85727.1
 00002	644.82	  85315.8
 00008	636.42	  85113.8
 00015	621.90	  85160.5
 00050	596.92	  85218.1
 00100	584.24	  84928.9
 00200	408.11	  75866.2
 00300	360.74	  52372.3
 00400	351.59	  39922.5
 00500	348.82	  32361.9
 00700	347.07	  23354.2
 01000	345.84	  16506.9
 01300	345.09	  12779.9
 01700	344.48	   9841.7
 02500	343.45	   6771.0
 03500	342.82	   4897.3
 05000	342.12	   3572.1
 09000	339.33	   2285.9
 20000	328.69	   1191.6
