Intel(R) Memory Latency Checker - v3.11b
Command line parameters: --loaded_latency -c0 -j2 -k2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126 -W5 

Using buffer size of 100.000MiB/thread for reads and an additional 100.000MiB/thread for writes

Measuring Loaded Latencies for the system
Using all the threads from each core if Hyper-threading is enabled
Inject	Latency	Bandwidth
Delay	(ns)	MB/sec
==========================
 00000	208.79	 586241.7
 00002	209.64	 583492.8
 00008	210.05	 581545.7
 00015	210.54	 580022.5
 00050	212.77	 567246.5
 00100	167.48	 393624.3
 00200	147.82	 169987.4
 00300	142.13	 109905.4
 00400	139.81	  78937.7
 00500	139.09	  61565.4
 00700	138.40	  45192.3
 01000	137.91	  33882.6
 01300	137.57	  27266.0
 01700	137.28	  22879.5
 02500	136.92	  17151.0
 03500	136.67	  12447.3
 05000	136.36	   8640.3
 09000	136.06	   5108.1
 20000	135.85	   2576.7
