Intel(R) Memory Latency Checker - v3.11b
Command line parameters: --loaded_latency -c0 -j1 -k2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126 -W5 

Using buffer size of 100.000MiB/thread for reads and an additional 100.000MiB/thread for writes

Measuring Loaded Latencies for the system
Using all the threads from each core if Hyper-threading is enabled
Inject	Latency	Bandwidth
Delay	(ns)	MB/sec
==========================
 00000	648.94	 116522.6
 00002	573.90	 116655.7
 00008	574.08	 116654.8
 00015	573.83	 116661.5
 00050	573.41	 116691.0
 00100	574.14	 116648.5
 00200	577.54	 116602.4
 00300	355.81	 101264.2
 00400	285.16	  74700.2
 00500	255.73	  60469.5
 00700	240.60	  45401.8
 01000	231.76	  32641.9
 01300	227.85	  25917.7
 01700	226.29	  23186.0
 02500	222.84	  16989.4
 03500	220.49	  12336.7
 05000	218.64	   8552.3
 09000	216.95	   4972.6
 20000	215.97	   2419.8
