Intel(R) Memory Latency Checker - v3.11b
Command line parameters: --loaded_latency -c0 -j0 -k2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126 

Using buffer size of 100.000MiB/thread for reads and an additional 100.000MiB/thread for writes

Measuring Loaded Latencies for the system
Using all the threads from each core if Hyper-threading is enabled
Using Read-only traffic type
Inject	Latency	Bandwidth
Delay	(ns)	MB/sec
==========================
 00000	278.29	 236536.7
 00002	278.05	 236640.2
 00008	274.70	 236488.6
 00015	269.51	 236841.2
 00050	251.01	 238462.5
 00100	141.04	 160156.0
 00200	123.15	  77084.8
 00300	118.27	  52918.7
 00400	115.89	  40367.7
 00500	114.83	  32765.2
 00700	113.21	  23819.9
 01000	111.92	  16902.9
 01300	111.40	  13174.7
 01700	111.01	  10237.6
 02500	110.55	   7170.5
 03500	110.30	   5427.2
 05000	109.90	   3896.4
 09000	109.58	   2678.1
 20000	109.22	   1590.5
