mode,batch_size,min,max,avg,median
PREFETCH_T1,10,52,370,72,66
PREFETCH_T1,11,58,112,69,66
PREFETCH_T1,12,60,170,73,68
PREFETCH_T1,13,62,190,73,69
PREFETCH_T1,14,64,128,76,72
PREFETCH_T1,15,66,194,78,74
PREFETCH_T1,16,68,128,79,74
PREFETCH_T1,17,76,382,340,344
PREFETCH_T1,18,316,390,348,350
PREFETCH_T1,19,324,400,350,348
PREFETCH_T1,20,328,396,355,354
PREFETCH_T1,21,328,410,353,352
PREFETCH_T1,22,332,392,358,358
PREFETCH_T1,23,326,398,358,358
PREFETCH_T1,24,334,396,358,356
PREFETCH_T1,25,332,408,359,356
PREFETCH_T1,26,324,412,360,358
PREFETCH_T1,27,336,400,359,356
PREFETCH_T1,28,336,396,361,360
PREFETCH_T1,29,340,420,365,364
PREFETCH_T1,30,336,418,364,364
PREFETCH_T1,31,342,414,368,368
PREFETCH_T1,32,344,406,367,367
PREFETCH_T1,33,346,426,371,370
PREFETCH_T1,34,342,416,368,367
PREFETCH_T1,35,344,422,370,370
PREFETCH_T1,36,348,418,374,374
PREFETCH_T1,37,348,428,377,378
PREFETCH_T1,38,354,406,376,374
PREFETCH_T1,39,354,426,378,376
PREFETCH_T1,40,354,436,381,380
PREFETCH_T1,41,358,410,381,380
PREFETCH_T1,42,358,432,383,382
PREFETCH_T1,43,354,434,384,382
PREFETCH_T1,44,362,532,388,386
PREFETCH_T1,45,360,428,389,389
PREFETCH_T1,46,364,434,389,388
PREFETCH_T1,47,360,450,389,388
PREFETCH_T1,48,366,440,393,392
PREFETCH_T1,49,358,448,395,393
PREFETCH_T1,50,366,674,395,390
PREFETCH_T1,51,366,578,400,394
PREFETCH_T1,52,368,444,399,396
PREFETCH_T1,53,358,448,399,398
PREFETCH_T1,54,372,482,403,400
PREFETCH_T1,55,376,580,404,401
PREFETCH_T1,56,370,494,406,404
PREFETCH_T1,57,372,766,413,404
PREFETCH_T1,58,380,502,410,406
PREFETCH_T1,59,380,678,419,410
PREFETCH_T1,60,384,776,423,412
