mode,batch_size,min,max,avg,median
PREFETCH_NTA,10,56,238,69,64
PREFETCH_NTA,11,58,128,69,65
PREFETCH_NTA,12,60,166,73,70
PREFETCH_NTA,13,60,108,74,70
PREFETCH_NTA,14,64,102,74,72
PREFETCH_NTA,15,64,116,76,73
PREFETCH_NTA,16,68,108,79,74
PREFETCH_NTA,17,306,376,337,338
PREFETCH_NTA,18,322,376,344,344
PREFETCH_NTA,19,326,386,352,352
PREFETCH_NTA,20,334,390,359,358
PREFETCH_NTA,21,340,398,365,363
PREFETCH_NTA,22,344,398,369,368
PREFETCH_NTA,23,348,410,374,376
PREFETCH_NTA,24,348,418,377,376
PREFETCH_NTA,25,352,422,387,388
PREFETCH_NTA,26,354,422,388,390
PREFETCH_NTA,27,364,452,395,396
PREFETCH_NTA,28,366,438,399,396
PREFETCH_NTA,29,372,446,406,407
PREFETCH_NTA,30,382,458,409,408
PREFETCH_NTA,31,386,622,419,414
PREFETCH_NTA,32,388,632,424,422
PREFETCH_NTA,33,390,656,429,425
PREFETCH_NTA,34,392,730,435,426
PREFETCH_NTA,35,392,752,455,435
PREFETCH_NTA,36,392,692,448,438
PREFETCH_NTA,37,408,846,482,450
PREFETCH_NTA,38,414,822,484,451
PREFETCH_NTA,39,416,824,499,456
PREFETCH_NTA,40,414,810,526,471
PREFETCH_NTA,41,422,802,545,487
PREFETCH_NTA,42,428,870,601,558
PREFETCH_NTA,43,438,972,621,630
PREFETCH_NTA,44,448,856,663,674
PREFETCH_NTA,45,452,886,705,739
PREFETCH_NTA,46,472,904,704,742
PREFETCH_NTA,47,454,1000,746,800
PREFETCH_NTA,48,472,1018,761,793
PREFETCH_NTA,49,490,1064,812,832
PREFETCH_NTA,50,486,934,799,828
PREFETCH_NTA,51,480,1206,839,846
PREFETCH_NTA,52,510,1156,837,847
PREFETCH_NTA,53,620,1188,875,866
PREFETCH_NTA,54,696,1194,900,879
PREFETCH_NTA,55,746,1256,944,914
PREFETCH_NTA,56,678,1186,945,917
PREFETCH_NTA,57,706,1236,970,949
PREFETCH_NTA,58,742,1276,1012,1045
PREFETCH_NTA,59,750,1310,1016,1008
PREFETCH_NTA,60,726,1294,1070,1087
