mode,batch_size,min,max,avg,median
PREFETCH_T2,10,62,314,82,72
PREFETCH_T2,11,68,168,76,74
PREFETCH_T2,12,68,116,78,76
PREFETCH_T2,13,70,132,79,77
PREFETCH_T2,14,70,114,82,80
PREFETCH_T2,15,76,134,87,84
PREFETCH_T2,16,78,398,91,86
PREFETCH_T2,17,316,382,341,342
PREFETCH_T2,18,326,398,347,346
PREFETCH_T2,19,326,398,350,348
PREFETCH_T2,20,328,390,352,352
PREFETCH_T2,21,326,390,352,352
PREFETCH_T2,22,332,424,357,354
PREFETCH_T2,23,332,390,355,356
PREFETCH_T2,24,332,414,357,357
PREFETCH_T2,25,330,398,357,356
PREFETCH_T2,26,332,392,361,360
PREFETCH_T2,27,334,434,364,362
PREFETCH_T2,28,336,416,364,361
PREFETCH_T2,29,340,406,364,364
PREFETCH_T2,30,338,396,363,363
PREFETCH_T2,31,342,414,369,367
PREFETCH_T2,32,342,424,374,372
PREFETCH_T2,33,346,460,374,373
PREFETCH_T2,34,350,446,375,372
PREFETCH_T2,35,344,452,376,372
PREFETCH_T2,36,354,448,379,376
PREFETCH_T2,37,350,458,380,378
PREFETCH_T2,38,354,462,380,378
PREFETCH_T2,39,352,458,386,383
PREFETCH_T2,40,354,474,385,384
PREFETCH_T2,41,354,470,387,382
PREFETCH_T2,42,358,454,386,382
PREFETCH_T2,43,356,458,392,390
PREFETCH_T2,44,358,458,394,390
PREFETCH_T2,45,364,478,399,394
PREFETCH_T2,46,362,454,406,404
PREFETCH_T2,47,364,470,408,406
PREFETCH_T2,48,362,458,413,410
PREFETCH_T2,49,376,482,417,416
PREFETCH_T2,50,370,480,419,419
PREFETCH_T2,51,380,486,423,424
PREFETCH_T2,52,382,502,427,430
PREFETCH_T2,53,374,492,426,426
PREFETCH_T2,54,376,636,423,420
PREFETCH_T2,55,384,488,428,425
PREFETCH_T2,56,376,772,433,428
PREFETCH_T2,57,382,748,430,426
PREFETCH_T2,58,384,722,435,427
PREFETCH_T2,59,386,664,433,426
PREFETCH_T2,60,374,760,444,432
