ht_type,label,k,rep,set_mops,fill,capacity,fill_factor,exit,status,log
3,dramblast,21,1,1541,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r1_20260915-190131.log
3,dramblast,21,2,1549,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r2_20260915-190131.log
3,dramblast,21,3,1546,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r3_20260915-190131.log
3,dramblast,21,4,1547,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r4_20260915-190131.log
3,dramblast,21,5,1547,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r5_20260915-190131.log
3,dramblast,22,1,1545,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r1_20260915-190131.log
3,dramblast,22,2,1550,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r2_20260915-190131.log
3,dramblast,22,3,1543,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r3_20260915-190131.log
3,dramblast,22,4,1546,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r4_20260915-190131.log
3,dramblast,22,5,1547,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r5_20260915-190131.log
3,dramblast,23,1,1550,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r1_20260915-190131.log
3,dramblast,23,2,1548,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r2_20260915-190131.log
3,dramblast,23,3,1547,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r3_20260915-190131.log
3,dramblast,23,4,1541,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r4_20260915-190131.log
3,dramblast,23,5,1547,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r5_20260915-190131.log
3,dramblast,24,1,1513,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r1_20260915-190131.log
3,dramblast,24,2,1517,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r2_20260915-190131.log
3,dramblast,24,3,1512,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r3_20260915-190131.log
3,dramblast,24,4,1510,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r4_20260915-190131.log
3,dramblast,24,5,1518,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r5_20260915-190131.log
3,dramblast,25,1,1513,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r1_20260915-190131.log
3,dramblast,25,2,1510,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r2_20260915-190131.log
3,dramblast,25,3,1514,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r3_20260915-190131.log
3,dramblast,25,4,1520,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r4_20260915-190131.log
