ht_type,label,k,rep,set_mops,fill,capacity,fill_factor,exit,status,log
3,dramblast,19,4,1996,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r4_20260920-142953.log
3,dramblast,19,5,1819,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r5_20260920-142953.log
3,dramblast,20,1,1803,1119887688,2147483648,0.521488,0,ok,dramblast_ht3_k20_r1_20260920-142953.log
3,dramblast,20,2,1789,1119887688,2147483648,0.521488,0,ok,dramblast_ht3_k20_r2_20260920-142953.log
3,dramblast,20,3,1803,1119887688,2147483648,0.521488,0,ok,dramblast_ht3_k20_r3_20260920-142953.log
3,dramblast,20,4,1789,1119887688,2147483648,0.521488,0,ok,dramblast_ht3_k20_r4_20260920-142953.log
3,dramblast,20,5,1797,1119887688,2147483648,0.521488,0,ok,dramblast_ht3_k20_r5_20260920-142953.log
3,dramblast,21,1,1984,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r1_20260920-142953.log
3,dramblast,21,2,2019,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r2_20260920-142953.log
3,dramblast,21,3,1985,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r3_20260920-142953.log
3,dramblast,21,4,2022,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r4_20260920-142953.log
3,dramblast,21,5,1985,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r5_20260920-142953.log
3,dramblast,22,1,2010,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r1_20260920-142953.log
3,dramblast,22,2,2004,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r2_20260920-142953.log
3,dramblast,22,3,2008,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r3_20260920-142953.log
3,dramblast,22,4,2002,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r4_20260920-142953.log
3,dramblast,22,5,2009,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r5_20260920-142953.log
3,dramblast,23,1,1995,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r1_20260920-142953.log
3,dramblast,23,2,1993,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r2_20260920-142953.log
3,dramblast,23,3,1997,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r3_20260920-142953.log
3,dramblast,23,4,1993,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r4_20260920-142953.log
3,dramblast,23,5,1994,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r5_20260920-142953.log
3,dramblast,24,1,2033,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r1_20260920-142953.log
3,dramblast,24,2,1979,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r2_20260920-142953.log
3,dramblast,24,3,2033,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r3_20260920-142953.log
3,dramblast,24,4,1980,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r4_20260920-142953.log
3,dramblast,24,5,2036,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r5_20260920-142953.log
3,dramblast,25,1,1997,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r1_20260920-142953.log
3,dramblast,25,2,2052,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r2_20260920-142953.log
3,dramblast,25,3,1994,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r3_20260920-142953.log
3,dramblast,25,4,2053,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r4_20260920-142953.log
3,dramblast,25,5,1997,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r5_20260920-142953.log
3,dramblast,26,1,2037,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r1_20260920-142953.log
3,dramblast,26,2,2012,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r2_20260920-142953.log
3,dramblast,26,3,2038,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r3_20260920-142953.log
3,dramblast,26,4,2011,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r4_20260920-142953.log
3,dramblast,26,5,2037,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r5_20260920-142953.log
3,dramblast,27,1,1868,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r1_20260920-142953.log
3,dramblast,27,2,1849,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r2_20260920-142953.log
3,dramblast,27,3,1863,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r3_20260920-142953.log
3,dramblast,27,4,1848,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r4_20260920-142953.log
3,dramblast,27,5,1861,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r5_20260920-142953.log
3,dramblast,28,1,1866,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r1_20260920-142953.log
