ht_type,label,k,rep,set_mops,fill,capacity,fill_factor,exit,status,log
3,dramblast,21,1,1852,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r1_20260914-184524.log
3,dramblast,21,2,1627,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r2_20260914-184524.log
3,dramblast,21,3,1851,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r3_20260914-184524.log
3,dramblast,21,4,1628,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r4_20260914-184524.log
3,dramblast,21,5,1852,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r5_20260914-184524.log
3,dramblast,22,1,1776,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r1_20260914-184524.log
3,dramblast,22,2,1915,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r2_20260914-184524.log
3,dramblast,22,3,1772,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r3_20260914-184524.log
3,dramblast,22,4,1912,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r4_20260914-184524.log
3,dramblast,22,5,1773,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r5_20260914-184524.log
3,dramblast,23,1,1870,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r1_20260914-184524.log
3,dramblast,23,2,1901,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r2_20260914-184524.log
3,dramblast,23,3,1871,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r3_20260914-184524.log
3,dramblast,23,4,1900,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r4_20260914-184524.log
3,dramblast,23,5,1870,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r5_20260914-184524.log
3,dramblast,24,1,1903,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r1_20260914-184524.log
3,dramblast,24,2,1909,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r2_20260914-184524.log
3,dramblast,24,3,1903,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r3_20260914-184524.log
3,dramblast,24,4,1910,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r4_20260914-184524.log
3,dramblast,24,5,1904,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r5_20260914-184524.log
3,dramblast,25,1,1906,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r1_20260914-184524.log
3,dramblast,25,2,1890,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r2_20260914-184524.log
3,dramblast,25,3,1903,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r3_20260914-184524.log
3,dramblast,25,4,1890,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r4_20260914-184524.log
3,dramblast,25,5,1905,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r5_20260914-184524.log
3,dramblast,26,1,1924,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r1_20260914-184524.log
3,dramblast,26,2,1803,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r2_20260914-184524.log
3,dramblast,26,3,1925,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r3_20260914-184524.log
3,dramblast,26,4,1804,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r4_20260914-184524.log
3,dramblast,26,5,1909,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r5_20260914-184524.log
3,dramblast,27,1,1784,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r1_20260914-184524.log
3,dramblast,27,2,1915,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r2_20260914-184524.log
3,dramblast,27,3,1785,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r3_20260914-184524.log
3,dramblast,27,4,1917,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r4_20260914-184524.log
3,dramblast,27,5,1785,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r5_20260914-184524.log
3,dramblast,28,1,1786,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r1_20260914-184524.log
3,dramblast,28,2,1922,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r2_20260914-184524.log
3,dramblast,28,3,1785,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r3_20260914-184524.log
3,dramblast,28,4,1922,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r4_20260914-184524.log
3,dramblast,28,5,1785,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r5_20260914-184524.log
3,dramblast,29,1,1908,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r1_20260914-184524.log
3,dramblast,29,2,1766,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r2_20260914-184524.log
3,dramblast,29,3,1908,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r3_20260914-184524.log
3,dramblast,29,4,1764,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r4_20260914-184524.log
3,dramblast,29,5,1907,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r5_20260914-184524.log
3,dramblast,30,1,1909,1488477239,2147483648,0.693126,0,ok,dramblast_ht3_k30_r1_20260914-184524.log
3,dramblast,30,2,1727,1488477239,2147483648,0.693126,0,ok,dramblast_ht3_k30_r2_20260914-184524.log
3,dramblast,30,3,1911,1488477239,2147483648,0.693126,0,ok,dramblast_ht3_k30_r3_20260914-184524.log
3,dramblast,30,4,1728,1488477239,2147483648,0.693126,0,ok,dramblast_ht3_k30_r4_20260914-184524.log
3,dramblast,30,5,1911,1488477239,2147483648,0.693126,0,ok,dramblast_ht3_k30_r5_20260914-184524.log
3,dramblast,31,1,1773,1522525464,2147483648,0.708981,0,ok,dramblast_ht3_k31_r1_20260914-184524.log
3,dramblast,31,2,1935,1522525464,2147483648,0.708981,0,ok,dramblast_ht3_k31_r2_20260914-184524.log
3,dramblast,31,3,1774,1522525464,2147483648,0.708981,0,ok,dramblast_ht3_k31_r3_20260914-184524.log
3,dramblast,31,4,1936,1522525464,2147483648,0.708981,0,ok,dramblast_ht3_k31_r4_20260914-184524.log
3,dramblast,31,5,1774,1522525464,2147483648,0.708981,0,ok,dramblast_ht3_k31_r5_20260914-184524.log
3,dramblast,32,1,1813,1556257953,2147483648,0.724689,0,ok,dramblast_ht3_k32_r1_20260914-184524.log
3,dramblast,32,2,1808,1556257953,2147483648,0.724689,0,ok,dramblast_ht3_k32_r2_20260914-184524.log
3,dramblast,32,3,1813,1556257953,2147483648,0.724689,0,ok,dramblast_ht3_k32_r3_20260914-184524.log
3,dramblast,32,4,1807,1556257953,2147483648,0.724689,0,ok,dramblast_ht3_k32_r4_20260914-184524.log
3,dramblast,32,5,1814,1556257953,2147483648,0.724689,0,ok,dramblast_ht3_k32_r5_20260914-184524.log
8,dramhit,10,1,1364,1048575,2147483648,0.000488,0,ok,dramhit_ht8_k10_r1_20260914-184524.log
8,dramhit,10,2,1366,1048575,2147483648,0.000488,0,ok,dramhit_ht8_k10_r2_20260914-184524.log
8,dramhit,10,3,1367,1048575,2147483648,0.000488,0,ok,dramhit_ht8_k10_r3_20260914-184524.log
8,dramhit,10,4,1368,1048575,2147483648,0.000488,0,ok,dramhit_ht8_k10_r4_20260914-184524.log
8,dramhit,10,5,1365,1048575,2147483648,0.000488,0,ok,dramhit_ht8_k10_r5_20260914-184524.log
8,dramhit,11,1,1262,4194303,2147483648,0.001953,0,ok,dramhit_ht8_k11_r1_20260914-184524.log
8,dramhit,11,2,1301,4194303,2147483648,0.001953,0,ok,dramhit_ht8_k11_r2_20260914-184524.log
8,dramhit,11,3,1262,4194303,2147483648,0.001953,0,ok,dramhit_ht8_k11_r3_20260914-184524.log
8,dramhit,11,4,1299,4194303,2147483648,0.001953,0,ok,dramhit_ht8_k11_r4_20260914-184524.log
8,dramhit,11,5,1261,4194303,2147483648,0.001953,0,ok,dramhit_ht8_k11_r5_20260914-184524.log
8,dramhit,12,1,1392,16777193,2147483648,0.007812,0,ok,dramhit_ht8_k12_r1_20260914-184524.log
8,dramhit,12,2,1261,16777193,2147483648,0.007812,0,ok,dramhit_ht8_k12_r2_20260914-184524.log
8,dramhit,12,3,1391,16777193,2147483648,0.007812,0,ok,dramhit_ht8_k12_r3_20260914-184524.log
8,dramhit,12,4,1262,16777193,2147483648,0.007812,0,ok,dramhit_ht8_k12_r4_20260914-184524.log
8,dramhit,12,5,1395,16777193,2147483648,0.007812,0,ok,dramhit_ht8_k12_r5_20260914-184524.log
8,dramhit,13,1,1375,66795582,2147483648,0.031104,0,ok,dramhit_ht8_k13_r1_20260914-184524.log
8,dramhit,13,2,1274,66795582,2147483648,0.031104,0,ok,dramhit_ht8_k13_r2_20260914-184524.log
8,dramhit,13,3,1374,66795582,2147483648,0.031104,0,ok,dramhit_ht8_k13_r3_20260914-184524.log
8,dramhit,13,4,1275,66795582,2147483648,0.031104,0,ok,dramhit_ht8_k13_r4_20260914-184524.log
8,dramhit,13,5,1376,66795582,2147483648,0.031104,0,ok,dramhit_ht8_k13_r5_20260914-184524.log
8,dramhit,14,1,1280,231473900,2147483648,0.107788,0,ok,dramhit_ht8_k14_r1_20260914-184524.log
8,dramhit,14,2,1388,231473900,2147483648,0.107788,0,ok,dramhit_ht8_k14_r2_20260914-184524.log
8,dramhit,14,3,1281,231473900,2147483648,0.107788,0,ok,dramhit_ht8_k14_r3_20260914-184524.log
8,dramhit,14,4,1386,231473900,2147483648,0.107788,0,ok,dramhit_ht8_k14_r4_20260914-184524.log
8,dramhit,14,5,1281,231473900,2147483648,0.107788,0,ok,dramhit_ht8_k14_r5_20260914-184524.log
8,dramhit,15,1,1420,515915132,2147483648,0.240242,0,ok,dramhit_ht8_k15_r1_20260914-184524.log
8,dramhit,15,2,1384,515915132,2147483648,0.240242,0,ok,dramhit_ht8_k15_r2_20260914-184524.log
8,dramhit,15,3,1419,515915132,2147483648,0.240242,0,ok,dramhit_ht8_k15_r3_20260914-184524.log
8,dramhit,15,4,1384,515915132,2147483648,0.240242,0,ok,dramhit_ht8_k15_r4_20260914-184524.log
8,dramhit,15,5,1421,515915132,2147483648,0.240242,0,ok,dramhit_ht8_k15_r5_20260914-184524.log
8,dramhit,16,1,1388,766033017,2147483648,0.356712,0,ok,dramhit_ht8_k16_r1_20260914-184524.log
8,dramhit,16,2,1291,766033017,2147483648,0.356712,0,ok,dramhit_ht8_k16_r2_20260914-184524.log
8,dramhit,16,3,1390,766033017,2147483648,0.356712,0,ok,dramhit_ht8_k16_r3_20260914-184524.log
8,dramhit,16,4,1289,766033017,2147483648,0.356712,0,ok,dramhit_ht8_k16_r4_20260914-184524.log
8,dramhit,16,5,1391,766033017,2147483648,0.356712,0,ok,dramhit_ht8_k16_r5_20260914-184524.log
8,dramhit,17,1,1273,921085105,2147483648,0.428914,0,ok,dramhit_ht8_k17_r1_20260914-184524.log
8,dramhit,17,2,1399,921085105,2147483648,0.428914,0,ok,dramhit_ht8_k17_r2_20260914-184524.log
8,dramhit,17,3,1271,921085105,2147483648,0.428914,0,ok,dramhit_ht8_k17_r3_20260914-184524.log
8,dramhit,17,4,1399,921085105,2147483648,0.428914,0,ok,dramhit_ht8_k17_r4_20260914-184524.log
8,dramhit,17,5,1272,921085105,2147483648,0.428914,0,ok,dramhit_ht8_k17_r5_20260914-184524.log
8,dramhit,18,1,1385,1012177031,2147483648,0.471332,0,ok,dramhit_ht8_k18_r1_20260914-184524.log
8,dramhit,18,2,1187,1012177031,2147483648,0.471332,0,ok,dramhit_ht8_k18_r2_20260914-184524.log
8,dramhit,18,3,1388,1012177031,2147483648,0.471332,0,ok,dramhit_ht8_k18_r3_20260914-184524.log
8,dramhit,18,4,1187,1012177031,2147483648,0.471332,0,ok,dramhit_ht8_k18_r4_20260914-184524.log
8,dramhit,18,5,1388,1012177031,2147483648,0.471332,0,ok,dramhit_ht8_k18_r5_20260914-184524.log
8,dramhit,19,1,1275,1072562325,2147483648,0.499451,0,ok,dramhit_ht8_k19_r1_20260914-184524.log
8,dramhit,19,2,1413,1072562325,2147483648,0.499451,0,ok,dramhit_ht8_k19_r2_20260914-184524.log
8,dramhit,19,3,1274,1072562325,2147483648,0.499451,0,ok,dramhit_ht8_k19_r3_20260914-184524.log
8,dramhit,19,4,1412,1072562325,2147483648,0.499451,0,ok,dramhit_ht8_k19_r4_20260914-184524.log
8,dramhit,19,5,1276,1072562325,2147483648,0.499451,0,ok,dramhit_ht8_k19_r5_20260914-184524.log
8,dramhit,20,1,1439,1119887688,2147483648,0.521488,0,ok,dramhit_ht8_k20_r1_20260914-184524.log
8,dramhit,20,2,1315,1119887688,2147483648,0.521488,0,ok,dramhit_ht8_k20_r2_20260914-184524.log
8,dramhit,20,3,1441,1119887688,2147483648,0.521488,0,ok,dramhit_ht8_k20_r3_20260914-184524.log
8,dramhit,20,4,1314,1119887688,2147483648,0.521488,0,ok,dramhit_ht8_k20_r4_20260914-184524.log
8,dramhit,20,5,1439,1119887688,2147483648,0.521488,0,ok,dramhit_ht8_k20_r5_20260914-184524.log
8,dramhit,21,1,1240,1161736784,2147483648,0.540976,0,ok,dramhit_ht8_k21_r1_20260914-184524.log
8,dramhit,21,2,1449,1161736784,2147483648,0.540976,0,ok,dramhit_ht8_k21_r2_20260914-184524.log
8,dramhit,21,3,1242,1161736784,2147483648,0.540976,0,ok,dramhit_ht8_k21_r3_20260914-184524.log
8,dramhit,21,4,1447,1161736784,2147483648,0.540976,0,ok,dramhit_ht8_k21_r4_20260914-184524.log
8,dramhit,21,5,1242,1161736784,2147483648,0.540976,0,ok,dramhit_ht8_k21_r5_20260914-184524.log
8,dramhit,22,1,1453,1201060325,2147483648,0.559287,0,ok,dramhit_ht8_k22_r1_20260914-184524.log
8,dramhit,22,2,1340,1201060325,2147483648,0.559287,0,ok,dramhit_ht8_k22_r2_20260914-184524.log
8,dramhit,22,3,1454,1201060325,2147483648,0.559287,0,ok,dramhit_ht8_k22_r3_20260914-184524.log
8,dramhit,22,4,1341,1201060325,2147483648,0.559287,0,ok,dramhit_ht8_k22_r4_20260914-184524.log
8,dramhit,22,5,1451,1201060325,2147483648,0.559287,0,ok,dramhit_ht8_k22_r5_20260914-184524.log
8,dramhit,23,1,1438,1239041403,2147483648,0.576974,0,ok,dramhit_ht8_k23_r1_20260914-184524.log
8,dramhit,23,2,1430,1239041403,2147483648,0.576974,0,ok,dramhit_ht8_k23_r2_20260914-184524.log
8,dramhit,23,3,1439,1239041403,2147483648,0.576974,0,ok,dramhit_ht8_k23_r3_20260914-184524.log
8,dramhit,23,4,1429,1239041403,2147483648,0.576974,0,ok,dramhit_ht8_k23_r4_20260914-184524.log
8,dramhit,23,5,1437,1239041403,2147483648,0.576974,0,ok,dramhit_ht8_k23_r5_20260914-184524.log
8,dramhit,24,1,1452,1276170020,2147483648,0.594263,0,ok,dramhit_ht8_k24_r1_20260914-184524.log
