mode,batch_size,min,max,avg,median
REGULAR_LOAD,10,390,877,468,390
REGULAR_LOAD,11,390,942,474,422
REGULAR_LOAD,12,390,910,457,422
REGULAR_LOAD,13,390,910,467,422
REGULAR_LOAD,14,390,942,458,422
REGULAR_LOAD,15,390,910,465,422
REGULAR_LOAD,16,390,943,482,422
REGULAR_LOAD,17,390,53300,992,423
REGULAR_LOAD,18,422,910,484,423
REGULAR_LOAD,19,422,942,482,423
REGULAR_LOAD,20,422,910,486,455
REGULAR_LOAD,21,650,1105,678,650
REGULAR_LOAD,22,650,1203,694,682
REGULAR_LOAD,23,650,943,700,683
REGULAR_LOAD,24,682,1235,731,715
REGULAR_LOAD,25,682,1137,731,715
REGULAR_LOAD,26,682,1170,728,715
REGULAR_LOAD,27,682,1105,733,715
REGULAR_LOAD,28,715,1203,755,715
REGULAR_LOAD,29,715,1138,754,747
REGULAR_LOAD,30,715,1137,762,747
REGULAR_LOAD,31,715,1235,784,748
REGULAR_LOAD,32,715,1202,805,748
REGULAR_LOAD,33,747,1235,823,780
REGULAR_LOAD,34,747,1235,816,780
REGULAR_LOAD,35,747,1268,849,780
REGULAR_LOAD,36,747,1203,849,780
REGULAR_LOAD,37,747,1235,863,780
REGULAR_LOAD,38,747,1268,840,780
REGULAR_LOAD,39,747,1267,858,780
REGULAR_LOAD,40,748,1268,846,780
REGULAR_LOAD,41,975,1268,1014,975
REGULAR_LOAD,42,975,1625,1024,1007
REGULAR_LOAD,43,975,1690,1064,1008
REGULAR_LOAD,44,1007,1462,1065,1040
REGULAR_LOAD,45,1007,1690,1069,1040
REGULAR_LOAD,46,1007,1430,1079,1040
REGULAR_LOAD,47,1040,1527,1090,1072
REGULAR_LOAD,48,1040,21222,1292,1072
REGULAR_LOAD,49,1040,1397,1094,1073
REGULAR_LOAD,50,1040,1463,1120,1073
REGULAR_LOAD,51,1072,1463,1132,1073
REGULAR_LOAD,52,1072,1495,1140,1105
REGULAR_LOAD,53,1072,1528,1157,1105
REGULAR_LOAD,54,1072,1495,1153,1105
REGULAR_LOAD,55,1072,1463,1149,1105
REGULAR_LOAD,56,1072,1592,1193,1137
REGULAR_LOAD,57,1105,1593,1202,1138
REGULAR_LOAD,58,1105,1593,1200,1138
REGULAR_LOAD,59,1105,1625,1227,1138
REGULAR_LOAD,60,1105,1625,1253,1186
