threads,rep,iters,bw_prog_gbs,bw_perf_gbs,concentration,imc_clock_ghz,rpq_ins_rate_mps,rpq_occ_pch0,rpq_occ_pch1,rpq_occ_chan,rpq_lat_cycles,window_a,window_b
1,0,157,6.2614,6.3159756806377585,0.9509186043671463,1.2980157413218638,101.92293680810704,1.758988862944968,1.6891830549503513,3.448171917895319,43.913387588495375,2.6499921900000003,2.548003699
1,1,157,6.6099,6.622621361443825,0.9786405184887331,1.2981002570539844,103.64786012158412,1.7797656238652828,1.721363963577007,3.5011295874422896,43.84863529364571,2.446987162,2.445991212
1,2,157,6.6308,6.643307948591249,0.9797633280499316,1.2980955841021717,103.70706545309072,1.7796941460893057,1.7213391836495264,3.501033329738832,43.822239933923974,2.4459983270000003,2.4469953700000002
2,0,313,12.4909,12.711169461954562,0.9816514013782304,1.2980131950243392,198.67032736712412,3.7292295553321755,3.5670365309878234,7.296266086319999,47.67017692053772,2.6499985980000003,2.6499999420000004
2,1,313,12.5035,12.714722004539345,0.9818823009587787,1.2980140762970385,198.99817639544528,3.745508198229289,3.5818111199688323,7.327319318198121,47.79422499653655,2.649997929,2.651004017
2,2,313,12.4636,12.70130985279016,0.9813310400426049,1.2980131214395778,197.649228964342,3.684741669329495,3.5155981578262954,7.200339827155791,47.28647626628656,2.650002524,2.6500129130000003
3,0,470,18.5672,19.02566185850365,0.9831649363667133,1.2980137245428773,296.7936155254165,6.251746490997842,6.040554578042006,12.292301069039848,53.75983396940835,2.6509967089999997,2.650004629
3,1,470,18.5644,18.95248249096193,0.9809394551374016,1.2976033217609588,297.30087355859376,6.2664729868525715,6.052118502455842,12.318591489308414,53.76588721254642,2.649999235,2.649996825
3,2,470,18.5807,19.024957501152134,0.982943348733999,1.2980503449379501,297.26141374411515,6.2626456261026835,6.04669783806711,12.309343464169793,53.75116577821099,2.649922543,2.650001213
4,0,626,24.205,24.626967828079117,0.9839422474429323,1.297977796586983,384.68151647738523,8.921743102963543,8.744581490341579,17.666324593305124,59.60904303224212,2.7519976300000004,2.751984303
4,1,626,24.2035,24.625563378122134,0.9839600874799134,1.2979768255414958,384.67108220384983,8.920882166210438,8.743632315036079,17.664514481246517,59.60450756979378,2.75200044,2.7519890549999997
4,2,626,24.1996,24.625399060259614,0.9839615244666452,1.2979733387113017,384.6777296963276,8.920849347049955,8.744507592230372,17.66535693928033,59.606160055341114,2.752008158,2.752994939
5,0,783,28.904,29.497300754051892,0.9842168074304135,1.2979427559918097,460.7935085540678,13.217336428449157,12.710019089043811,25.927355517492966,73.03102724157768,2.8540005350000004,2.853999832
5,1,783,28.9017,29.496758006975,0.984239076732885,1.2979436192972897,460.76339009084313,13.215816330315,12.709286533518483,25.925102863833484,73.02950400443997,2.853999015,2.854979081
5,2,783,28.8995,29.49678461117906,0.9841325859445572,1.2979444813655798,460.7844785820776,13.215471208117675,12.710485498050799,25.925956706168474,73.02861531804028,2.851997886,2.853995751
6,0,887,32.0043,32.4445784112646,0.9842837624526979,1.297911568346192,506.89417989626514,18.632305679447665,18.49622360336635,37.128529282814014,95.06825997036806,2.955999201,2.955998945
6,1,887,32.0067,32.44636577766519,0.9842963600656427,1.297912820161977,506.9039285804796,18.632935480207216,18.49542820032493,37.128363680532146,95.06609930514301,2.9559969809999997,2.955996106
6,2,887,32.0056,32.44643816762197,0.9842858309336616,1.297911822471402,506.90884354636984,18.63210282390961,18.497945065914358,37.13004788982396,95.06941679687523,2.956791851,2.9560006480000003
7,0,887,32.7392,32.98364395738605,0.9843048462017682,1.2979440384839307,515.2757832667488,21.31678686755978,24.967273653754205,46.28406052131399,116.58634537336614,2.8539978759999998,2.8539959450000003
7,1,887,32.7371,32.98429459210259,0.9843048407953097,1.2979428740379593,515.3080229142621,21.316819274319325,24.971803250464326,46.288622524783655,116.59043733746046,2.854000391,2.852002982
7,2,887,32.74,32.98596740346939,0.9843118193186637,1.2979766946160651,515.2988163564613,21.321124382603053,24.970299073288587,46.29142345589164,116.6026136663712,2.854925977,2.854001217
8,0,887,32.6502,32.78348156267332,0.9842714451963754,1.2979432494212404,512.1554866063443,20.933138521673857,27.404333889325365,48.33747241099922,122.50048598652403,2.85399944,2.853998003
8,1,887,32.6799,32.78421839786077,0.9842466027669814,1.2979437983982658,511.97361412982184,20.95376877495321,27.419931283825296,48.37370005877851,122.6358981479631,2.853998944,2.956998707
8,2,887,32.6559,32.7820240086315,0.984249118072665,1.2979063623595044,512.1627820271626,20.93864660475714,27.39972520839694,48.338371813154076,122.49753891540024,2.9560110500000003,2.955998917
9,0,887,32.6581,32.7865865554049,0.9842776879033251,1.2979433001311167,512.2038433158136,21.053982024541323,28.763683443027364,49.81766546756869,126.23978903246108,2.853999404,2.8539978840000004
9,1,887,32.6565,32.78639335703004,0.984269119364297,1.2979435454143564,512.1961391550241,21.046394183588493,28.766507755762447,49.81290193935094,126.22964057714265,2.853997672,2.8539979380000005
9,2,887,32.6564,32.785593910807734,0.9842290130658702,1.297943614792389,512.1827519280083,21.04932725598264,28.765730886387146,49.815058142369786,126.23841078796929,2.853998501,2.854000205
10,0,887,32.8246,32.914541462231554,0.9842952352500982,1.2979442190191979,514.1923072870865,21.690131853691856,29.526059110704885,51.216190964396745,129.28190103261687,2.85399858,2.853996301
10,1,887,32.8463,32.914565615650204,0.9842980660225715,1.2979427634826308,514.2137800815232,21.69524960191654,29.524320097601976,51.219569699518516,129.28488581080921,2.8539999899999997,2.8539993420000003
10,2,887,32.8242,32.91530843136472,0.9843287883512393,1.2979440841513465,514.2002418041681,21.697698795156928,29.525037240116635,51.22273603527356,129.29641374293573,2.8539970660000002,2.853999605
11,0,887,32.9284,33.01751505649918,0.9844098785998797,1.2979425929461197,515.8182114104785,22.468248548231443,29.729120808509386,52.19736935674083,131.34315041455756,2.854000422,2.8539982700000004
11,1,887,32.931,33.018226407193005,0.9844243376912166,1.2979427439289961,515.8224517502807,22.462319276059244,29.7324161748644,52.194735450923645,131.33545839260384,2.854000862,2.855000648
11,2,887,32.9306,33.01980485296099,0.9844141242796809,1.2979439818710583,515.8450982598237,22.4709831270914,29.728769539037987,52.19975266612939,131.34244186233306,2.854993357,2.853984258
12,0,887,32.9247,33.06949648411938,0.9846174462431609,1.2979471451400693,516.6230355932399,22.92592825539771,29.672039629160277,52.59796788455799,132.14544755546396,2.853989249,2.8539923550000004
12,1,887,32.9168,33.06921379676176,0.9846213453277287,1.2979456366432185,516.6197498289224,22.924208824450616,29.672459132566093,52.596667957016706,132.14286852058734,2.854992171,2.854002737
12,2,887,32.9275,33.07009865294286,0.9846297283655883,1.2979439713806689,516.6392032176465,22.91775842320056,29.676420895358298,52.59417931855886,132.13147115256635,2.8539987940000002,2.853994532
13,0,887,32.9321,33.06407727258054,0.984843120867523,1.2979435286069083,516.518295108195,23.197338008202177,29.55341031084759,52.75074831904977,132.55579339264355,2.853998125,2.8540041929999997
13,1,887,32.9321,33.06231742633004,0.9848407145600978,1.2979432350719815,516.5161985884477,23.19683210221436,29.55417617624387,52.75100827845823,132.55695470028246,2.8539990740000003,2.8539989240000003
13,2,887,32.9337,33.06316674778233,0.9848433263194253,1.2979454043465115,516.5255490043838,23.196918405485466,29.556455251113743,52.75337365659921,132.5607204393604,2.853992361,2.853999706
14,0,887,32.9146,33.02003350016497,0.9849441800057139,1.297935962043207,515.8701780945504,23.328595437753773,29.340032425778144,52.66862786353192,132.51494092573736,2.854015199,2.853990247
14,1,887,32.9158,33.0229123051523,0.98501088726976,1.2979439847356902,515.8792902123081,23.329395768929594,29.338214455084593,52.66761022401418,132.5108589889895,2.8549965079999997,2.853998094
14,2,887,32.9167,33.02181824025998,0.9850018817102366,1.2979448239621452,515.8713011881622,23.33155153443161,29.337919463052092,52.6694709974837,132.51767854609434,2.853997172,2.853997537
15,0,887,32.9855,33.08817622903673,0.9852891895969444,1.297943195271754,516.9127255253549,23.44221791804905,29.080810452433113,52.52302837048216,131.8828187084141,2.85399869,2.855004708
15,1,887,32.9858,33.089661576961596,0.985255029409535,1.297942733874683,516.949511443645,23.44765029122179,29.076414267064774,52.52406455828656,131.87598873362063,2.853999552,2.8540023800000003
15,2,887,32.9859,33.08955468115408,0.9852493488740072,1.2979446993754202,516.9289682452919,23.444517753541696,29.079795302720047,52.52431305626175,131.8820532560298,2.853993878,2.853995341
16,0,887,33.0049,33.105969081906515,0.984972822596733,1.2979405085862785,517.2104272565581,23.74400196310518,28.92652978505485,52.67053174816003,132.1767952887878,2.854004761,2.8549952170000004
16,1,887,33.0101,33.109166634689416,0.9854519850902606,1.2979429009349148,517.2434666636952,23.739784631868556,28.928900948828947,52.6686855806975,132.16396331108578,2.85499911,2.854993051
16,2,887,33.0116,33.10945664876598,0.9854724192159756,1.2979420529316243,517.2504687957686,23.743517110461912,28.929322037647815,52.67283914810972,132.17251042188724,2.854000567,2.85399867
