mode,batch_size,min,max,avg,median
PREFETCH_T0,10,58,360,72,68
PREFETCH_T0,11,62,120,71,70
PREFETCH_T0,12,58,114,74,72
PREFETCH_T0,13,64,136,76,72
PREFETCH_T0,14,64,136,77,76
PREFETCH_T0,15,66,150,80,78
PREFETCH_T0,16,70,200,83,78
PREFETCH_T0,17,352,448,404,412
PREFETCH_T0,18,368,458,408,398
PREFETCH_T0,19,376,476,419,423
PREFETCH_T0,20,390,478,427,431
PREFETCH_T0,21,388,484,432,428
PREFETCH_T0,22,396,486,439,441
PREFETCH_T0,23,406,528,445,440
PREFETCH_T0,24,404,500,453,454
PREFETCH_T0,25,416,516,461,469
PREFETCH_T0,26,416,518,463,468
PREFETCH_T0,27,428,530,470,460
PREFETCH_T0,28,432,534,478,485
PREFETCH_T0,29,436,560,477,466
PREFETCH_T0,30,442,546,488,488
PREFETCH_T0,31,442,544,498,506
PREFETCH_T0,32,454,562,501,507
PREFETCH_T0,33,456,558,504,499
PREFETCH_T0,34,460,566,512,518
PREFETCH_T0,35,468,576,514,512
PREFETCH_T0,36,464,574,517,512
PREFETCH_T0,37,474,570,522,525
PREFETCH_T0,38,478,580,528,534
PREFETCH_T0,39,478,588,530,534
PREFETCH_T0,40,488,9278,580,541
PREFETCH_T0,41,494,596,537,534
PREFETCH_T0,42,494,700,544,544
PREFETCH_T0,43,500,606,548,550
PREFETCH_T0,44,508,610,555,558
PREFETCH_T0,45,518,620,561,558
PREFETCH_T0,46,518,618,566,568
PREFETCH_T0,47,522,630,574,576
PREFETCH_T0,48,536,676,579,580
PREFETCH_T0,49,534,664,585,588
PREFETCH_T0,50,542,674,588,588
PREFETCH_T0,51,544,746,594,596
PREFETCH_T0,52,556,754,603,604
PREFETCH_T0,53,560,808,616,612
PREFETCH_T0,54,564,876,614,612
PREFETCH_T0,55,562,822,640,628
PREFETCH_T0,56,572,836,644,631
PREFETCH_T0,57,566,930,659,640
PREFETCH_T0,58,576,860,668,648
PREFETCH_T0,59,578,870,690,660
PREFETCH_T0,60,592,5102,731,683
