fill,reprobe_factor,mops
10,1.0119,3472.076
20,1.0275,3349.242
30,1.0464,3166.759
40,1.0726,2925.193
50,1.1091,2631.907
60,1.1641,2385.449
70,1.2549,2165.711
80,1.4326,1925.558
90,1.9456,1479.449
