fill,reprobe_factor,mops
10,1.0001,3465.791
20,1.0016,3438.016
30,1.0065,3373.497
40,1.0175,3331.154
50,1.0373,3243.959
60,1.0702,3112.372
70,1.1231,2907.862
80,1.2139,2596.523
90,1.3988,2254.507
