fill,reprobe_factor,mops
10,1.0001,3495.790
20,1.0017,3475.581
30,1.0067,3424.829
40,1.0184,3357.709
50,1.0410,3244.094
60,1.0827,3080.249
70,1.1610,2819.545
80,1.3271,2402.846
90,1.8290,1724.957
