mode,batch_size,min,max,avg,median
REGULAR_LOAD,10,390,877,450,390
REGULAR_LOAD,11,390,910,454,390
REGULAR_LOAD,12,390,878,452,422
REGULAR_LOAD,13,390,943,450,422
REGULAR_LOAD,14,390,910,479,422
REGULAR_LOAD,15,390,910,482,423
REGULAR_LOAD,16,390,910,469,423
REGULAR_LOAD,17,390,910,460,423
REGULAR_LOAD,18,422,943,477,423
REGULAR_LOAD,19,422,943,492,423
REGULAR_LOAD,20,422,878,490,455
REGULAR_LOAD,21,650,943,679,682
REGULAR_LOAD,22,650,975,691,682
REGULAR_LOAD,23,682,1105,714,683
REGULAR_LOAD,24,682,1105,725,715
REGULAR_LOAD,25,682,1203,731,715
REGULAR_LOAD,26,682,1235,741,715
REGULAR_LOAD,27,682,1137,758,715
REGULAR_LOAD,28,682,1105,755,731
REGULAR_LOAD,29,715,1170,763,747
REGULAR_LOAD,30,715,1170,765,747
REGULAR_LOAD,31,715,1072,775,747
REGULAR_LOAD,32,715,1170,793,748
REGULAR_LOAD,33,715,1202,799,748
REGULAR_LOAD,34,747,1235,844,780
REGULAR_LOAD,35,747,1235,849,780
REGULAR_LOAD,36,747,1235,845,780
REGULAR_LOAD,37,747,1235,858,780
REGULAR_LOAD,38,747,1267,866,780
REGULAR_LOAD,39,747,1365,876,780
REGULAR_LOAD,40,747,1300,879,812
REGULAR_LOAD,41,975,1463,1002,975
REGULAR_LOAD,42,975,1267,1020,1007
REGULAR_LOAD,43,975,1495,1053,1008
REGULAR_LOAD,44,1007,1463,1043,1008
REGULAR_LOAD,45,1007,1430,1077,1040
REGULAR_LOAD,46,1007,1527,1080,1040
REGULAR_LOAD,47,1040,1398,1081,1072
REGULAR_LOAD,48,1040,1430,1096,1072
REGULAR_LOAD,49,1040,1333,1095,1073
REGULAR_LOAD,50,1040,1430,1107,1073
REGULAR_LOAD,51,1040,1593,1120,1073
REGULAR_LOAD,52,1072,1495,1141,1105
REGULAR_LOAD,53,1072,1527,1133,1105
REGULAR_LOAD,54,1072,1593,1149,1105
REGULAR_LOAD,55,1072,1560,1173,1137
REGULAR_LOAD,56,1072,1560,1181,1137
REGULAR_LOAD,57,1105,1592,1187,1138
REGULAR_LOAD,58,1105,1560,1170,1138
REGULAR_LOAD,59,1105,1592,1213,1138
REGULAR_LOAD,60,1105,1592,1207,1170
