mode,batch_size,min,max,avg,median
PREFETCH_NTA,10,32,910,80,65
PREFETCH_NTA,11,65,422,75,65
PREFETCH_NTA,12,65,423,75,65
PREFETCH_NTA,13,65,423,77,65
PREFETCH_NTA,14,65,390,73,65
PREFETCH_NTA,15,65,423,77,65
PREFETCH_NTA,16,65,423,76,65
PREFETCH_NTA,17,65,423,76,65
PREFETCH_NTA,18,65,422,81,65
PREFETCH_NTA,19,65,422,78,65
PREFETCH_NTA,20,65,845,85,65
PREFETCH_NTA,21,65,422,85,65
PREFETCH_NTA,22,65,422,128,65
PREFETCH_NTA,23,65,423,331,357
PREFETCH_NTA,24,325,423,356,357
PREFETCH_NTA,25,325,422,357,358
PREFETCH_NTA,26,325,422,356,357
PREFETCH_NTA,27,325,423,360,358
PREFETCH_NTA,28,357,1853,376,358
PREFETCH_NTA,29,357,423,361,358
PREFETCH_NTA,30,357,423,364,358
PREFETCH_NTA,31,357,422,363,358
PREFETCH_NTA,32,357,423,364,358
PREFETCH_NTA,33,357,422,364,358
PREFETCH_NTA,34,357,422,366,358
PREFETCH_NTA,35,357,423,366,358
PREFETCH_NTA,36,357,423,367,358
PREFETCH_NTA,37,357,422,368,358
PREFETCH_NTA,38,357,455,369,358
PREFETCH_NTA,39,357,423,370,358
PREFETCH_NTA,40,357,845,379,390
PREFETCH_NTA,41,357,423,374,358
PREFETCH_NTA,42,357,520,378,390
PREFETCH_NTA,43,357,423,376,390
PREFETCH_NTA,44,357,455,378,390
PREFETCH_NTA,45,357,617,379,390
PREFETCH_NTA,46,357,520,380,390
PREFETCH_NTA,47,357,423,380,390
PREFETCH_NTA,48,357,423,382,390
PREFETCH_NTA,49,357,650,386,390
PREFETCH_NTA,50,357,423,381,390
PREFETCH_NTA,51,357,455,385,390
PREFETCH_NTA,52,357,455,385,390
PREFETCH_NTA,53,357,553,386,390
PREFETCH_NTA,54,357,682,390,390
PREFETCH_NTA,55,357,715,388,390
PREFETCH_NTA,56,357,455,391,390
PREFETCH_NTA,57,357,487,389,390
PREFETCH_NTA,58,357,683,398,390
PREFETCH_NTA,59,357,682,396,390
PREFETCH_NTA,60,357,1040,404,390
