mode,batch_size,min,max,avg,median
PREFETCH_T1,30,338,776,370,366
PREFETCH_T1,31,340,410,366,368
PREFETCH_T1,32,344,406,370,372
PREFETCH_T1,33,342,430,370,369
PREFETCH_T1,34,346,408,371,370
PREFETCH_T1,35,344,422,373,374
PREFETCH_T1,36,348,412,373,372
PREFETCH_T1,37,354,434,378,377
PREFETCH_T1,38,352,424,380,380
PREFETCH_T1,39,354,416,380,380
PREFETCH_T1,40,354,426,378,377
PREFETCH_T1,41,354,504,383,381
PREFETCH_T1,42,360,432,384,384
PREFETCH_T1,43,356,434,387,388
PREFETCH_T1,44,352,436,390,390
PREFETCH_T1,45,360,452,389,388
PREFETCH_T1,46,362,474,389,388
PREFETCH_T1,47,366,438,389,387
PREFETCH_T1,48,362,452,396,394
PREFETCH_T1,49,362,486,397,394
PREFETCH_T1,50,362,594,396,394
PREFETCH_T1,51,364,650,401,398
PREFETCH_T1,52,374,466,402,400
PREFETCH_T1,53,374,488,400,400
PREFETCH_T1,54,374,474,404,402
PREFETCH_T1,55,378,484,406,404
PREFETCH_T1,56,376,720,413,408
PREFETCH_T1,57,374,486,407,403
PREFETCH_T1,58,378,602,412,408
PREFETCH_T1,59,378,730,432,416
PREFETCH_T1,60,380,634,419,414
PREFETCH_T1,61,382,770,429,418
PREFETCH_T1,62,388,710,437,420
PREFETCH_T1,63,394,750,444,430
PREFETCH_T1,64,388,772,462,432
PREFETCH_T1,65,394,752,467,436
PREFETCH_T1,66,400,780,476,436
PREFETCH_T1,67,402,760,498,461
PREFETCH_T1,68,414,770,517,464
PREFETCH_T1,69,420,762,577,538
PREFETCH_T1,70,424,766,570,499
PREFETCH_T1,71,422,782,603,655
PREFETCH_T1,72,420,796,633,678
PREFETCH_T1,73,434,10868,751,704
PREFETCH_T1,74,426,784,642,707
PREFETCH_T1,75,432,780,689,726
PREFETCH_T1,76,454,786,687,722
PREFETCH_T1,77,430,798,690,723
PREFETCH_T1,78,468,814,716,732
PREFETCH_T1,79,448,804,727,741
PREFETCH_T1,80,470,810,729,742
PREFETCH_T1,81,468,824,721,738
PREFETCH_T1,82,502,914,738,742
PREFETCH_T1,83,472,854,737,748
PREFETCH_T1,84,516,848,752,761
PREFETCH_T1,85,660,1040,761,763
PREFETCH_T1,86,692,826,754,754
PREFETCH_T1,87,662,818,762,765
PREFETCH_T1,88,672,840,760,761
PREFETCH_T1,89,674,824,765,768
PREFETCH_T1,90,694,864,764,762
PREFETCH_T1,91,692,830,769,772
PREFETCH_T1,92,708,884,775,773
PREFETCH_T1,93,608,854,772,771
PREFETCH_T1,94,710,834,774,776
PREFETCH_T1,95,712,1022,782,779
PREFETCH_T1,96,710,858,783,785
PREFETCH_T1,97,700,870,787,786
PREFETCH_T1,98,716,1074,793,782
PREFETCH_T1,99,710,884,791,791
PREFETCH_T1,100,736,862,794,795
